gloss,segmented_text
b'ik,"{'oj', ""Ã¡k'el"", 'x-', 'xoj', 'kabaal', 'kon', 'iij', 'solÃ¡', 'jun', 'r-', ""-i'n"", 'we', 'tiq', 'wat', 'oj-', 'in-', ""b'ik"", 't-', 'niri', ""wi'"", 'ki', 'chi', 'derepeet', '-j', 'el', 'ra', ""Ch'anuuj"", 'awaaj', 'kam'}"
clas,"{""ta'n"", 'seis', 'pet', 'kabaal', 'yaj', 'lijori', 'q-', 'r-', 'tarjeet', ""-i'n"", 'maq', 'sach', 'Jiin', 'Miguel', 'm', '-***', 'ri', 'peer', 'yaq', ""k'im"", ""ch'i'r"", 'baa', '-aq', '-on', 'chuch', ""-a'n"", 'kam', 'chaq', '-er', ""wÃ¡'x"", 'tzi', 'ajla', ""ik'il"", 'lajori', 'qus', 'we', 'naj', ""a'"", 't-', 'neen', 'wich', 'iin', 'j', ""kita'n"", 'antonses', 'e', 'vicente', ""ma'"", ""k'is"", ""k'isi'"", ""junaab'"", 'qa-', ""Ã¡k'el"", 'kirtyaan', 'tuuj', 'jilon', 'Makarye', 'julio', ""k'u"", '-l', ""no'"", 'pobre', 'ti-', 'noo', 'ooj', 'taq', ""'an"", ""kla'"", 'en', ""ik'laal"", 'tzaq', 'li', 'tziij', 'qe', 'xaq', ""wi'"", 'chi', 'byeen', 'don', ""laj'ori"", 'chi-', ""q'oxÃ³w"", 'entoons', 'saq', 'nada', ""si'"", '***', '-w', 'x-', 'ya', ""kita'"", '-aal', ""b'an"", 'rejwÃ©x', 're', ""ji'"", ""b'it"", 'w-', 'utzÃ¡', 'awaas', ""wi'l"", ""kiib'"", 'chik', 'eywaal', ""k'ex"", 'takiil', ""jii'"", 'kan', 'in-', ""b'ik"", ""i'n"", 'qaaj', 'x', 'ejeempl', ""-ka'"", 'cholaaj', 'j-', ""yo'l"", ""ri'"", 'in', 'qa', '-j', ""-i'"", 'man', 'aq', ""ka'"", ""ta'"", '-ik', 'wunaq', '-ch', 'empediid'}"
coj,"{'ooj', ""-b'iij"", 'sach', 'wich', 'iqa', 'qej', 're', ""wi'"", 'y', 'tambyeen', 'okox', 'j-', ""k'ichelaaj"", 'ki', 'lijori', 'chi', 'jun', 'ti-'}"
cojn,"{'qa-', 'cholaj', 'x-', 'chaq', ""b'i"", '-er', ""eqle'n"", 'ójir', 'es', 'galaan', 'medyo', ""ye'"", 'Waldo', 'lijori', ""q'antzu"", ""y'"", 'ke', 'ti-', 'r-', '-iil', 'beyesa', 'taq', 'teknolojya', 'luus', 'kalidad', ""a'"", 'tzaq', 'li', ""i'n"", 'na', 't-', 'ri', 'peer', ""k'im"", 'qaaj', '-sáj', 'wunaq', 'boos', 'tij', ""wi'"", 'j-', 'baa', 'chi', '-aq', 'kurtyembre', '-j', ""jli'"", 'man', 'ójor', 'tres', ""ta'"", 'saq', 'ra', ""ri'j"", 'maas', '-ch', 'tza', '***', '-w'}"
conj,"{'jri-', ""-b'ik"", 'oj', 'yaaj', 'ájij', '-iik', 'o', ""ech'elxik"", 'wíswil', ""k'ichelaaj"", 'fweert', ""y'"", ""se'a"", 'chomo', '-sÃ¡j', 'ketzales', ""o'"", 'laq', ""tata'"", 'tuq', 'jol', 'ri', 'moo', ""-b'ij"", 'baa', 'kirneer', '-on', 'lujo', ""tz'eet"", ""ajki'"", ""k'uli'"", '-er', '-x', ""ik'il"", 'ch-', 'Merseed', ""jii'n"", ""kúmb'il"", '-aaj', ""extranjerb'"", 'mejor', '-man', ""kab'-"", ""i'b'"", '-in', ""b'a"", ""-ib'"", 'xe', 'e', 'kum', ""ta'j"", ""cha'"", ""saqmólb'"", 'wuroon', 'jaa', 'mulÃ¡j', ""k'atzaan"", 'moos', ""k'is"", 'tyoox', 'nakaaj', 'sipoj', 'kirtyaan', ""ch'elxik"", 'toos', 'es', 'ajwu', ""k'u"", '-l', 'dyunabes', 'ke', 'ti-', 'ay', 'noo', 'ooj', ""'an"", ""kla'"", ""q'ab'"", '-wu', 'aat', 'keja', ""-q'iij"", ""k'omon"", 'tzaq', 'li', ""lek'l"", 'niri', ""-eeb'"", ""wi'"", 'miim', ""laj'ori"", ""sik'"", 'qej', 'kiyaq', 'rechaq', 'nada', 'kwaand', 'ijiil', ""chuchu'"", 'qeej', 'x-', '-aal', ""b'i"", 'waqaq\\a', 're', 'y', 'aw-', 'sol', ""nik'"", ""ji'"", 'w-', 'y...', ""alaq'"", ""k'on"", ""k'omo"", ""wi'l"", 'chik', ""wa'x"", 'alaaj', 'na', ""ch'qaap"", 'naq', ""patb'aa"", '-uuj', ""tz'i'"", ""laq'aab'"", ""k'oom"", ""ri'"", 'wer', 'qa', ""-i'"", 'antoos', '-ik', 'nway', ""Seb'astyan"", 'etal', 'pi', '-oj', ""b'e"", 'al', 'komo', 'kirner', 'pet', 'nim', '-si', 'ij', 'oor', 'chaak', ""k'il"", '-ow', ""kwa'y"", ""Ã©k'il"", '-eej', 'qas', 'etaam', 'ixóqil', ""k'iil"", ""meb'a'"", ""ni'j"", 'or', 'juraaj', ""la'"", ""xab'an"", 'Errere', 'taaw', '-e', 'molon', 'etam', 'mism', 'chuch', ""qolb'ej"", 'ni', 'ech', ""b'elej"", 'ra', 'kwin', ""aq'ab'"", ""loq'"", ""teek'"", ""ch'ool"", '-tzaq', 'lajori', ""ruk'"", 'karo', 'keq', 'qus', '???', 'tyeemp', 'naj', 't', ""a'"", ""ch'ij"", 't-', 'chaj', 'taant', 'iin', ""ib'"", 'ee', '-eel', 'qleen', ""k'up"", 'tik', 'Liiy', ""k'aayej"", ""yu'"", 'tijo', '**', 'keqiix', ""mosiib'"", 'yol', 'tza', ""iitz'"", ""junaab'"", ""b'ij"", 'neen-', ""chi'"", ""k'ii"", 'ixóqiil', ""talb'art"", 'Kulaax', 'tzii', ""titz'"", 'kalidad', 'en', ""tz'an"", ""loq'laj"", ""seb'laj"", 'at-', 'baay', ""kaab'"", 'r', ""jab'"", 'xaq', ""sib'laj"", 'boos', 'tij', 'yook', 'aprender', 'aa', 'wi', 'aber', 'chi-', 'la', ""re'"", ""q'uuq'"", 'dyees', ""lÃ©k'l"", 'saq', ""jurub'"", ""chib'"", 'lojori', ""si'"", '?', '-n', 'ya', ""elq'"", 'per', ""kib'"", 'ttiij', 'nojeel', 'naaj', 'iij', 'kar', 'ijaaj', 'ti', ""kiib'"", 'aboon', ""tromb'e"", ""jii'"", ""juruub'"", 'x', 'uuq', 'choman', 'man', 'jos', ""choq'w"", 'wakix', 'padre', 'aq', ""ta'"", '-laj', 'ka', ""ch'iich'"", 'fweers', 'Ã³jor', ""ta'n"", 'eel', 'alg', 'pech', ""ye'"", 'q-', 'juntiir', 'r-', ""-i'n"", '-il', 'keel', 'uch', 'lamaas', 'laad', 'keske', 'tiq', 'oj-', 'm', ""itz'yeq"", 'wich-', ""b'ek"", 'kuxta', 'pe', 'el', 'tres', 'júnkitz', 'list', 'kam', 'xa-', ""wÃ¡lb'"", 'laj', ""wÃ¡'x"", 'keqruum', 'muucho', ""lek'il"", 'at', 'muund', 'beneno', 'abeses', 'tok', 'ne', 'gaan', ""xo'l"", 'portuun', 'entons', 'yuq', 'anm', 'ch', ""lu'j"", 'esa', 'año', ""k'a"", 'aaj', 'neen', 'wich', '(lok)', 'j', ""telb'art"", '-eem', '-un', 'repent', ""no'j"", 'bween', 'jurchuchÃºj', ""Ã¡k'el"", ""ek'l"", ""eek'"", 'tuuj', ""e'"", 'ekil', 'a-', 'medyo', ""no'"", 'pores', ""itz'iq"", 'tra', ""t'-"", ""ik'a"", ""ik'aa"", 'ok', 'kojon', 'utiiw', ""Ã©k'l"", 'juun', 'li-', ""k'aslem"", 'qe', ""b'es"", 'kwand', 'yameer', ""ya'"", 'chi', 'aal', ""nab'ee"", 'mes', 'olbel', ""i'"", ""xi'"", 'i', 'sweerte', 'alaj', ""tzib'"", '***', 'wiich', 'wa', '-k', 'galaan', 'Waldo', 'wch', ""q'aab'"", ""b'it"", 'burlaar', 'chk', 'kwarenta', 'qap', ""sik'-"", 'grabar', 'xi', ""k'ex"", ""-patb'aa"", 'kan', ""b'ik"", ""i'n"", ""kab'"", 'qaaj', '-qe', ""k'ay"", '(kitz)', ""Li'y"", '-ti', 'in', 'mi', 'muul', 'ese', '-na', 'lo', ""iik'"", 'roqta', ""q'iij"", ""olb'ej"", 'wunaq', ""wá'x"", ""k'ut"", ""aq'ansaa"", ""chee'"", 'em', 'yaj', 'lijori', 'natun', ""b'iij"", 'koom', 'maq', 'sach', 'luus', ""k'iw"", ""-a'"", 'mismo', 'graan', 'juraj', ""tz'ib'"", 'peer', 'yaq', '-Ã¡l', 'pu-', ""-e'"", ""k'ur"", 'chaje', '-aq', 'taw', 'utz', 'lajor', ""k'iy"", 'oombre', ""-a'n"", ""ik'an"", ""i'j"", 'cholaj', '-el', 'chaq', 'maak', 'tzi', ""-ob'"", 'pwees', 'kintal', 'aaber', '-qa', 'we', 'sich', 'xílij', 'alimeent', 'gringos', 'rekomendar', ""-ne'"", 'koj', 'ri-', '-ij', 'aj', 'kumpliir', 'kumatz', 'il', 'xim', 'uleew', 'si', ""k'i"", ""t'o"", 'lomi', 'tilmiit', 'semiya', 'etemaa', ""q'uniik"", 'mas', 'qa-', 'esaa', '-j-', ""ajtzoo'"", 'peech', 'jilon', 'tambyeen', '-laaj', 'Dyoos', ""q'antzu"", ""tz'aaq"", 'jun', 'pwes', 'aÃ±o', ""chweeq'"", ""ti'nik"", 'taq', 'jalaan', 'íxim', ""t'oj"", ""ja'"", 'poop', ""q'ax"", 'aqan', 'waq', 'chep', 'sea', 'maam', ""ne'"", 'ki', 'an', 'byeen', '-chik', 'tons', ""q'oxÃ³w"", 'entoons', 'ójor', 'ichooch', 'usil', ""k'isik'"", 'chap', 'maas', 'bida', 'por', '-w', 'jelaan', ""ilb'e"", ""kita'"", ""b'an"", '-li', 'ójir', 'naa', ""kolob'"", ""jo'"", '(ta-baber)', ""-yi'n"", ""kinaq'"", 'imaam', ""k'am"", 'awaas', ""b'esel"", 'eywaal', ""ka'n"", 'pwaq', 'takiil', ""ab'iix"", 'laas', ""ib'il"", 'in-', '-iil', ""Ã¡lib'"", ""a'l"", 'algo', 'ma', 'a', '-sáj', ""b'o'j"", 'Ã¡nim', 'j-', ""xe'"", ""yo'l"", 'an-', 'chuuch', ""piyeq'okix"", '-j', 'pee', 'chulu', 'porke', 'saqweech', '-moo', 'aj-', '-ol', '-ch', 'mol'}"
conj.,"{'t-', 'taq', 'i', 'sutin', 'baa'}"
d4em.,"{'li', 'ne-', 'saber', ""wi'"", 'moo', 'komersiyan', 'jun'}"
dem,"{'oj', 'yaaj', '-iik', 'luwar', ""k'ichelaaj"", '-iij', ""y'"", '-sÃ¡j', 're-', 'montaaÃ±', 'jin', ""b'ee"", 'bolober', 'ri', ""che'w"", 'moo', ""-b'ij"", 'baa', 'kirneer', '-on', ""-b'il"", ""lajo'"", ""tz'eet"", 'rÃ¡sn', ""ajki'"", 'pooq', ""itz'ab'"", ""k'eer"", 'ch-', ""ik'il"", ""che'"", ""elaq'"", 'ta', ""kúmb'il"", '-aaj', 'mejor', '-man', 'eso', 'jor', ""tiko'n"", ""i'b'"", '-ool', '-in', ""b'a"", ""kita'n"", ""-ib'"", 'e', 'kum', ""ta'j"", ""cha'"", 'qes', 'uuy', ""loq'a"", 'jaa', ""k'atzaan"", '-al', ""k'is"", 'tyoox', ""k'isi'"", 'kirtyaan', 'iil', 'es', 'rikiil', ""k'u"", '-l', 'ke', 'ti-', 'noo', 'ooj', ""'an"", ""kla'"", 'keja', 'aat', 'kuxtaa', ""-q'iij"", 'tzaq', 'li', 'tziij', 'maj', ""lek'l"", ""tek'"", 'xem', ""wi'"", ""-eeb'"", 'niri', 'ta-', 'okox', 'keer', 'miim', ""laj'ori"", ""sik'"", 'petzel', ""k'ixb'"", 'kiyaq', 'rechaq', 'kwaand', 'awaaj', ""chuchu'"", 'qeej', '-aal', 'x-', ""-eb'"", ""b'i"", 'oseey', 're', 'y', 'ju', 'aw-', ""ji'"", 'entonces', 'w-', 'utzÃ¡', 'y...', ""Saqb'iin"", ""wi'l"", 'puramente', 'chik', 'naturalesa', ""wa'x"", 'jaan', 'pent', 'talbes', 'tos', 'na', ""pixab'"", 'jili', 'naq', ""patb'aa"", 'wee', '-naq', ""looq'"", 'isaj', ""laq'aab'"", 'cheek', ""k'oom"", ""ri'"", 'wer', 'qa', ""-i'"", '-ik', ""k'iche'l"", 'pi', ""b'e"", 'pet', 'nim', 'ij', 'oor', 'chak', 'chaak', 'suseder', ""k'il"", 'm-', '-ow', ""kwa'y"", 'seys', ""Ã©k'il"", 'raaj', '-eej', 'qas', 'etaam', ""k'iil"", 'domingo', '-***', 'Ã¡jw', 'juraaj', ""ch'i'r"", ""xab'an"", 'malanga', 'peent', 'taaw', '-e', 'etam', ""q'a"", 'oqol', 'mism', 'chuch', 'ni', 'ech', ""b'elej"", 'ra', ""k'ul"", 'bwenisima', 'kwin', 'folyar', 'kap', ""loq'"", ""eqle'n"", 'wakat', 'kaxlaan', ""ruk'"", ""ch'aw"", 'qus', 'mees', ""echelka'n"", 'Bisente', 'tyeemp', 'naj', 't', ""a'"", 'barko', 't-', 'Delgaad', 'iin', ""ib'"", 'ee', 'oon', '-eel', 'qleen', ""k'up"", ""nik'ij"", 'tik', ""na'l"", ""yu'"", ""kub'i'"", 'yol', ""iitz'"", ""na'"", ""teb'a"", ""b'ij"", ""sii'"", ""chi'"", 'xoj', 'Manuel', ""talb'art"", 'Kulaax', 'tzii', 'MÃ©ndez', 'on', 'en', ""tz'an"", ""loq'laj"", ""seb'laj"", 'Ã©tzel', 'Julia', 'at-', 'r', ""jab'"", 'xaq', 'tij', 'aa', 'wi', 'chi-', 'la', ""q'uuq'"", 'dyees', ""lÃ©k'l"", 'saq', ""jurub'"", ""chib'"", ""si'"", '-n', 'ya', 'per', '-ee', 'iij', 'kar', 'jam', 'ijaaj', 'ti', ""kiib'"", 'puuch', 'aboon', 'ox', ""jii'"", ""tz'et"", 'ichaaj', 'x', 'nik', 'cholaaj', 'jamaas', 'man', '-chaq', 'padre', ""ka'"", ""ta'"", '-laj', 'taat', 'empediid', 'dyoos', 'ka', ""q'alaaj"", 'Ã³jor', ""ta'n"", ""ye'"", 'juntiir', 'q-', 'r-', ""-i'n"", 'lamaas', 'keel', 'uch', '-il', ""k'eex"", ""tob'iiy"", 'tiq', 'oj-', ""-b'"", 'mood', 'eske', 'm', ""itz'yeq"", ""tÃ¡q'aj"", 'pe', 'íjij', ""kaach'"", 'xeel', 'el', 'tres', 'kombenser', 'júnkitz', 'kam', ""wÃ¡lb'"", 'laj', ""wÃ¡'x"", 'muund', 'xiij', 'beneno', 'mat', 'tok', ""xo'l"", ""tu'"", 'portuun', 'yuq', 'anm', 'ch', '-saaj', 'para', 'año', ""k'a"", 'neen', 'wich', '-re', 'taal', 'nen', '-eem', 'seguramente', ""antiib'"", 'itza', '-un', ""no'j"", ""Ã¡k'el"", ""ek'l"", ""eek'"", ""yuuq'"", 'tuuj', 'ekil', ""tz'il"", 'iglesya', 'waa', 'a-', 'medyo', ""no'"", 'pores', 'tra', ""-ab'"", ""ik'aa"", 'ok', 'utiiw', ""Ã©k'l"", 'juun', 'eem', 'li-', ""k'aslem"", 'qe', 'kwand', ""ya'"", 'chi', 'lugar', ""nab'ee"", 'mes', ""alib'"", ""i'"", ""xi'"", 'yuuq', 'i', ""tzib'"", 'apart', 'entonses', 'palaabr', '***', 'almaj', 'wulman', 'Waldo', 'wch', ""q'aab'"", ""b'it"", 'chk', 'qap', 'súrsik', 'tose', 'xi', ""k'ex"", 'kan', ""b'ik"", ""i'n"", 'wen', 'qaaj', 'ejeempl', ""-ka'"", 'pwers', 'saber', 'woroon', 'Anastasyo', ""k'ay"", 'ik', 'in', 'mi', '-na', 'ese', 'lo', ""iik'"", ""q'iij"", ""itz'an"", 'wunaq', '-(ki)', ""chee'"", 'bee', 'yaj', ""nab'e"", 'lijori', 'ux-', 'natun', ""b'iij"", 'koom', 'maq', 'Jiin', 'sach', ""-a'"", 'mismo', 'fijaat', 'Miguel', 'pu', 'peer', 'yaq', '-oom', 'katolika', 'pu-', 'chaje', ""-e'"", '-aq', 'taw', 'no', 'lajor', '-ral', 'oombre', 'loom', 'ma-', ""-a'n"", 'cholaj', '-el', 'chaq', 'oori', 'maak', 'w', 'tzi', 'kli', ""-ob'"", 'pwees', 'kintal', 'pista', '-qa', 'we', 'xílij', 'rekomendar', ""-ne'"", 'koj', 'komisaant', 'ri-', '-ij', 'desir', 'aj', 'il', 'uleew', 'si', ""k'i"", 'antonses', 'mansaniil', 'tilmiit', 'estoo', ""ri'j"", 'mas', 'qa-', 'dya', 'jilon', 'tambyeen', 'Dyoos', 'jun', 'aÃ±o', ""chweeq'"", 'taq', 'chiqa', ""t'oj"", ""ja'"", 'wat', ""q'ax"", 'aqan', 'chep', ""ik'laal"", 'sekek', 'maam', ""ne'"", 'ki', 'an', 'byeen', 'kweent', '-chik', 'entoons', 'ójor', 'non', 'ichooch', 'chap', ""k'isik'"", '-án', ""juyub'"", 'maas', 'por', 'bida', '-w', 'jelaan', 'tijin', 'q', ""b'an"", '-li', 'ójir', ""jo'"", 'pasar', 'puro', ""kinaq'"", 'imaam', 'awaas', ""k'am"", '-taq', ""b'esel"", 'este', 'eywaal', ""ka'n"", 'pwaq', ""ab'iix"", 'in-', '-iil', ""Ã¡lib'"", 'algo', 'ma', 'woron', '-sáj', 'lúwir', ""b'o'j"", 'Ã¡nim', 'j-', ""xe'"", ""yo'l"", 'an-', 'chuuch', ""piyeq'okix"", '-j', 'porke', 'saqweech', 'aj-', 'Ãºnik', 'bikingo', '-ol', '-ch', 'mol'}"
dim,"{'qa-', ""-b'ik"", '-ra', 'x-', 'xi-', 'ne-', 'chaq', 'per', 'yÃ³l', 'ch-', ""jii'n"", 'dyunabes', 'chaak', 'ke', 'r-', ""ch'opiin"", 'tok', 'taq', 'uch', 'tra', ""xo'l"", 'sach', 'seel', 'jolin', ""'an"", 'ok', 't', 'chik', '-ij', 'en', ""Ã©k'l"", 'tos', 'li', 't-', 'neen', 'il', ""ni'j"", 'qe', ""lek'l"", ""wi'"", ""ib'"", 'moo', 'j-', ""ya'"", 'chi', 'e', '-aq', 'uuy', '-j', 'chi-', 'lo', '-ral', 'mism', ""ta'"", ""k'isik'"", ""lÃ©k'l"", ""b'il"", 'ra', 'qe-', '-ik', 'kwaand', '-ch', 'ka', 'mol'}"
dir,"{'oj', 'etal', ""k'ut"", ""-b'ik"", ""chee'"", ""b'e"", 'eel', 'nim', 'pech', ""ti'"", ""k'ichelaaj"", ""ye'"", '-ich', 'q-', 'juntiir', 'chaak', 'r-', '-sáaj', ""-i'n"", 'dyesiseys', '-il', 'karneero', '-ow', 'maq', 'sach', 'uch', '-sÃ¡j', ""kwa'y"", 'tiq', ""Ã©k'il"", ""-a'"", 'oj-', 'laq', 'rex', ""b'ee"", 'mood', 'm', 'ixóqil', ""k'iil"", 'ri', 'peer', ""ni'j"", 'kuxta', ""-e'"", 'moo', 'pe', 'baa', '-aq', 'xuk', 'taw', 'no', ""kab'al"", 'el', 'katorse', 'teew', ""ch'eje"", '-aj', 'ra', '-s', 'tons', ""k'uli'"", 'kam', '-el', '-él', 'chaq', 'ne-', '-er', 'laj', 'oori', ""yuwaab'"", 'w', 'ch-', ""ik'il"", 'lajori', ""che'"", 'jaaw', ""ruk'"", ""b'uq'"", 'abeses', '-sel', 'petz', ""petb'aa"", '-aaj', 'xílij', 'tyeemp', ""xo'l"", 'portuun', 'mejor', 'yuq', 'jli', ""-ne'"", '-saaj', 'koj', 'ch', ""alq'"", 'aj', 't-', 'kumatz', 'neen', 'il', '-re', 'si', 'iin', 'jaw', ""q'aj"", ""b'a"", ""ib'"", 'e', 'qleen', '-saj', 'qes', 'uuy', 'jaa', '-elaaj', '-un', ""(tene')"", 'tyoox', ""pat'b'aa"", ""iitz'"", 'mas', 'qa-', 'jurchuchÃºj', 'kirtyaan', ""ek'l"", 'iil', ""ajtzoo'"", 'etqe', ""toq'ob'"", '-laaj', ""k'ii"", 'a-', 'Dyoos', ""ék'il"", 'ke', 'jun', 'ti-', 'aÃ±o', 'atin', 'ooj', ""ik'iil"", 'taq', 'kond', ""t'-"", 'tra', ""sutq'um"", ""kla'"", ""t'oj"", ""talb'art"", 'aat', ""ja'"", 'ok', 'kuxtaa', 'elaaj', ""q'ax"", 'de', 'utiiw', 'paam', 'juun', 'chep', 'en', 'li', 'maj', 'qe', ""lek'l"", 'usiil', ""ch'iqaap"", ""tek'"", ""wi'"", 'niri', 'ta-', 'okox', ""at'-"", 'ki', 'kwand', ""me'"", ""ya'"", 'chi', 'miim', ""b'-"", 'e-', ""i'"", 'chi-', 'la', 'entoons', ""tiit'"", 'ójor', ""te'"", ""sik'"", 'i', ""k'iche'laaj"", 'qej', ""re'"", ""tz'iil"", 'chap', ""k'isik'"", ""lÃ©k'l"", 'qe-', 'sut', 'nada', 'kwaand', 'laaj', 'por', '***', '-w', 'qeej', 'x-', '-aal', ""b'i"", 'ya', 'per', ""b'an"", ""elq'"", ""kib'"", 're', ""-ch'"", 'jinii', ""kolob'"", 'aw-', 'Waldo', 'wch', ""ji'"", 'iij', 'i-', ""b'it"", 'w-', ""ch'opiin"", ""k'am"", 'seel', 'chk', 'ti', ""wi'l"", ""b'esel"", 'chik', 'tek', ""jii'"", 'in-', ""-ee'"", ""b'ik"", 'pent', 'abeer', 'na', 'qaaj', 'jili', 'x', 'peyor', ""patb'aa"", ""saqmolb'"", '-naq', '-ixóqil', 'j-', ""satq'um"", ""k'om"", 'an-', ""ri'"", 'chuuch', 'in', '-na', '-j', ""-i'"", 'lo', 'man', 'muq', 'porke', 'jos', 'pee', ""q'iij"", 'aj-', ""ka'"", ""ta'"", 'ánim', '-ik', '-ol', 'wunaq', '-ch', 'taat', 'mol', '-(ki)'}"
ers,"{""petb'aa"", 'x-', '-aaj', 'xílij', ""ib'"", 'j-', 'sut', ""ye'"", 'i-', 'r-'}"
exis,"{""nik'ij"", 'chaq', ""sib'laj"", ""wi'"", 'chik', 'ra', ""ka'n""}"
exist,"{'oj', 'ajsik', 'yaaj', ""atz'aam"", ""ech'elxik"", 'luwar', ""k'ichelaaj"", '-iij', ""y'"", 'tarjeet', 'karneero', ""chijb'"", ""o'"", 'laq', ""b'ee"", 'ri', 'moo', 'baa', 'suwerte', 'kirneer', 'rayee', 'pooq', ""itz'ab'"", ""ik'il"", 'ch-', ""che'"", 'kamotes', 'eso', ""kab'-"", 'delikad', ""-ib'"", 'e', 'uuy', 'jaa', ""a'n"", 'moos', ""k'is"", 'kirtyaan', 'es', ""k'u"", ""b'alche'"", ""ék'il"", 'ke', 'ti-', 'ay', 'ooj', 'teknolojya', ""q'ab'"", ""kla'"", '-wu', 'aat', 'li', ""miq'in"", 'rosado', ""lek'l"", ""wi'"", 'niri', 'okox', ""-te'"", 'miim', ""laj'ori"", 'qej', 'kiyaq', 'rechaq', 'nada', 'ijiil', 'kwaand', 'awaaj', '-aal', 'x-', ""b'i"", 're', 'y', 'ju', 'aw-', 'w-', 'y...', 'swaan', 'kurs', 'chik', 'tos', 'alaaj', 'na', '-uuj', ""ri'"", 'qa', '-ik', ""b'e"", 'komo', 'kirner', 'kabaal', 'nim', '-si', 'ij', 'chaak', ""k'il"", '-ow', ""kwa'y"", 'wijaal', 'qas', 'ixóqil', 'or', ""tob'ol"", 'taaw', '-e', 'xumaan', 'chuch', 'ech', 'ra', ""k'uch"", 'keq', ""wi'n"", 'mees', 'tyeemp', 'naj', 't', ""a'"", ""ta'w"", '-an', 't-', 'chaj', 'iin', 'ee', '-eel', 'qleen', ""nik'ij"", 'loke', 'rajwÃ©xik', ""b'ij"", ""sii'"", ""chi'"", ""muuch'"", ""talb'art"", 'tzii', ""loq'laj"", ""seb'laj"", 'at-', ""jab'"", '-ke', 'xaq', ""ch'iqaap"", 'tij', 'swerte', 'chi-', 'la', ""q'uuq'"", ""lÃ©k'l"", 'saq', 'moolt', ""si'"", 'ya', ""kib'"", 'kar', 'seguro', 'ti', 'ox', ""jii'"", ""juruub'"", ""tz'olom"", 'cholaaj', 'uuq', 'derepeet', 'man', ""choq'w"", 'wakix', ""ta'"", 'taat', 'ka', ""q'alaaj"", ""ta'n"", 'alg', ""ye'"", 'juntiir', 'q-', 'r-', '-sáaj', ""-i'n"", 'lamaas', 'oj-', ""wib'"", 'm', 'pe', 'íjij', 'el', 'júnkitz', 'list', 'kam', 'laj', 'keqruum', 'beneno', ""saqja'"", 'abeses', 'tok', ""xo'l"", 'portuun', 'yuq', 'jli', 'ch', ""k'a"", 'neen', 'wich', '(lok)', 'meex', 'figat', ""antiib'"", ""no'j"", 'bween', ""maq'na'"", ""Ã¡k'el"", 'iglesya', 'a-', ""no'"", ""itz'iq"", 'tra', ""Ã©k'l"", 'juun', ""ixtuutz'"", 'kwand', 'chi', ""alib'"", ""piiq'"", 'i', '***', 'wa', 'Waldo', 'qap', 'kuna', 'kan', ""b'ik"", ""i'n"", 'wen', 'qaaj', 'ejeempl', 'syempre', 'usum', '(kitz)', 'in', 'lo', ""iik'"", 'pax', ""q'iij"", 'puur', 'top', 'wunaq', ""aq'ansaa"", ""chee'"", 'yaj', 'lijori', 'koom', 'maq', 'sach', 'fijaat', 'peer', 'yaq', 'katolika', ""-e'"", '-aq', 'nee-', 'taw', '-ral', 'oombre', 'loom', ""-a'n"", '-el', 'chaq', 'chikeech', 'tzi', 'jri', 'pwees', 'pista', 'we', 'xílij', 'kaj', ""itz'"", ""-ne'"", 'koj', 'komisaant', 'aj', 'il', 'uleew', ""k'itzaan"", 'lomi', 'tilmiit', 'te', 'kow', 'qa-', ""ajtzoo'"", 'tambyeen', 'jun', 'pwes', 'taq', ""b'aatz'"", 'íxim', ""t'oj"", ""ja'"", 'wat', 'elikoptero', 'aqan', ""ne'"", 'ki', 'entoons', 'ichooch', 'chap', 'maas', 'por', 'bida', '-w', '(te)', ""ilb'e"", ""b'an"", 'ójir', 'imaam', 'awaas', 'pensar', ""k'am"", '-taq', 'xiq', ""b'esel"", ""ka'n"", 'pwaq', 'in-', '-iil', 'algo', 'ma', 'woron', '-sáj', 'abyoon', 'j-', ""xe'"", 'an-', '-j', 'porke', 'saqweech', 'aj-', '-ol', '-ch'}"
exist.,"{'xaq', 're', 'jun', ""wi'""}"
exsit,"{""wi'""}"
exsit.,"{'aa-', 'chaq', 'kiitz', 'w', ""ik'il"", 'lajori', ""k'u"", ""ki'-"", 'r-', 'taq', 'tra', 'jin', ""jii'"", 'laq', 'in-', ""wa'xen"", 'li', '-in', 'ri', '-naa', 'tij', ""wi'"", ""-e'"", 'baa', 'be', ""Ã¡k'il"", 'loke', ""nik'j"", '-w'}"
exÃ­s,"{'tuuj', 'kli', 'aw-', ""ji'"", 'juntiir', 'ke', 'ti-', 'r-', 'w-', ""-i'n"", 'taq', 'we', 'maq', 'koj', ""-a'"", ""k'ex"", ""jii'"", ""ik'laal"", ""b'ik"", 'li', 'ri', ""wi'"", 'j', ""-e'"", 'j-', '-aq', 'byeen', 'lo', 'entoons', ""k'is"", 'i', 'ichooch', 'aq', 'loom', 'ech', ""-a'n"", 'por', '***', '-w'}"
