text,segmented_text,gloss,translation,detailed_gloss
"['jno', 'la', 'maas,', 'jno...', 'jno', 'pu', ""miq'iin.+""]","['jono', 'la', 'maas', 'jono', 'jono', 'pi', ""miq'iin""]","['adv', 'prep', 'adv', 'adv', 'adv', 'prep', 'adj']","['Por', 'ay,', 'por', 'tierra', 'caliente.']","['adv', 'PRE#prep', 'adv', 'adv', 'adv', 'PREP#prep', 'adj']"
"['Xintijooj', ""wib'"", 're', 'taq', 'poop,+']","['x', 'in-', 'tijo', '-j', 'w', ""-ib'"", 're', 'taq', 'poop']","['tam', 'pers', 'vt', 'suf', 'pers', 'RFX', 'pron', 'pl', 's']","['AprendÃ\xad', 'hacer', 'los', 'petates.']","['COM#tam', '#', 'A1S#pers', 'vt', 'SC#suf', 'E1S#pers', 'RFX', 'pron', 'PL#pl', 's']"
"['xintijooj', ""wib'"", 're', 'jun', 'opiisyo,+']","['x-', 'in-', 'tijoj', 'w-', ""ib'"", 're', 'jun', 'opiis']","['tam', 'pers', 'vt', 'pref', 'srel', 'part', 'art', 's']","['AprendÃ\xad', 'para', 'un', 'oficio.']","['COM#tam', 'E1S#pers', 'vt', 'E1S#pref', 'REL#srel', 'PART#part', 'art', 's']"
"['juntiir', ""wetaami'n.+""]","['juntiir', 'w', 'etaam', ""-i'n""]","['adv', 'pers', 's', 'part']","['Todo', 'lo', 'sÃ©.']","['adv', 'E1S#pers', '#', 's', 'part']"
"['Wetaam', 'poop,+']","['w', 'etaam', 'poop']","['pers', 's', 's']","['Se', 'petate', '(se', 'hacer', 'petate)']","['E1S#pers', '#', 's', 's']"
"['wetaam,+']","['w-', 'etaam']","['pers', 's']","['SÃ©', '(conosco)']","['E1S#pers', 's']"
"['juntiir', ""xinb'an.+""]","['juntiir', 'x', 'in-', ""b'an""]","['adv', 'tam', 'pers', 'vt']","['Todo', 'lo', 'hice.']","['adv', 'COM#tam', '#', 'A1S#pers', 'vt']"
"[""Xinwa'x"", ""rk'i"", ""wÃ¡lb'"", 'Ã³jr,+']","['r-', ""k'i"", ""Ã¡lib'"", 'Ã³jor']","['pers', 'srel', '***', 'adv']","['Estuve', 'con', 'mi', 'suegro', 'antes.']","['E3S#pers', 'srel', 'error', 'adv']"
"['i', 'dyes', 'aaÃ±', ""xinwÃ¡'x"", 'la', 'jrchooch', ""wÃ¡lb',+""]","['i', 'dyees', 'aÃ±o', 'x-', 'in-', ""wÃ¡'x"", 'la', 'jri-', 'ichooch', ""wÃ¡lb'""]","['conj', 'num', 's', 'tam', 'pers', 'vi', 'prep', 'adv', 's', 's']","['Diez', 'aÃ±os', 'estuve', 'en', 'la', 'casa', 'de', 'mi', 'suegro.']","['CONJ#conj', 'num', 's', 'COM#tam', 'E1S#pers', 'EXS#vi', 'PRE#prep', 'adv', 's', 's']"
"['dyes', 'aaÃ±', ""xinwa'x"", ""rk'ilaq,+""]","['dyees', 'aÃ±o', '***', 'r-', '***']","['num', 's', '***', 'pers', '***']","['Diez', 'aÃ±os', 'estuve', 'con', 'ellos']","['num', 's', 'error', 'E3S#pers', 'error']"
"['tos', ""wÃ¡lb',"", 're', 'xijchwe,+']","['entoons', ""wÃ¡lb'"", 're', 'x-']","['adv', 's', 'pron', '***']","['Entonces', 'mi', 'suegro', 'el', 'me', 'dijo.']","['adv', 's', 'pron', 'COM#***']"
"['ke', ""tinb'an"", 'qus,+']","['ke', 't-', 'in-', ""b'an"", 'qus']","['part', 'tam', 'pers', 'vt', 'adj']","['Que', 'hiciera', 'bueno.', '(potarse', 'bien)']","['part', 'INC#tam', 'E1S#pers', 'vt', 'adj']"
"['i', ""tinb'an"", 'utziil.+']","['i', 't-', 'in-', ""b'an"", 'utz', '-iil']","['conj', 'tam', 'pers', 'vt', 'adv', 'suf']","['Hacer', 'bueno.', '(conmportarse', 'muy', 'bien)']","['CONJ#conj', 'INC#tam', 'E1S#pers', 'vt', 'adv', 'SAB#suf']"
"['Bay', ""xinb'an"", 'kumpliir,+']","['baa', 'x-', 'in-', ""b'an"", 'kumpliir']","['voc', 'tam', 'pers', 'vt', 'vi']","['Vaya', 'cumplÃ\xad.']","['voc', 'COM#tam', 'E1S#pers', 'vt', 'vi']"
"['xinkojon', 'chuchaq,+']","['x-', 'chuch', '-aq']","['tam', '***', '***']","['Los', 'respetÃ©', 'a', 'ellos.']","['COM#tam', 'error', 'error']"
"[""xinb'an"", 'kumpliir,+']","['x-', 'in-', ""b'an"", 'kumpliir']","['tam', 'pers', 'vt', 'vi']","['(Hice', 'cumpli)', 'cumplÃ\xad.']","['COM#tam', 'E1S#pers', 'vt', 'vi']"
"['xinkojon', 'chuchaq.+']",['x-'],['tam'],"['(RespetÃ©', 'frente', 'a', 'ellos)', 'los', 'respetÃ©', 'a', 'ellos.']",['COM#tam']
"['I', ""ri'"", 'li', 're', 're', ""rb'anal"", ""inwi'liin"", 'Ã³jr+']","['i', ""ri'"", 'li', 're', 're', 'r', ""b'an"", '-aal', 'Ã³jor']","['conj', 'dem', 'dem', '***', '***', 'pers', 'vt', 'suf', 'adv']","['Y', 'eso', 'es', 'lo', 'que', 'yo', 'e', 'hecho.']","['CONJ#conj', 'dem', 'DEM#dem', 'error', 'error', 'E3S#pers', '#', 'vt', 'SAB#suf', 'adv']"
"['kond', ""xojk'iiy,+""]","['kwand', 'x-', 'oj-', ""k'iy""]","['adv', 'tam', 'pers', 'vi']","['Cuando', 'nosotros', 'cresimos.']","['adv', 'COM#tam', 'A1P#pers', 'vi']"
"[""rk'i"", 'qaqaaj', 'qachuuch,+']","['r-', ""k'i"", 'q-', '***', 'qa-', '***']","['pers', 'srel', 'pers', '***', 'pers', '***']","['Con', 'nuestra', 'mamÃ¡', 'con', 'nuestro', 'papÃ¡.']","['E3S#pers', 'srel', 'E1P#pers', 'error', 'E1P#pers', 'error']"
"['mas', ""k'ax"", 'xqatiij', ""tamb'yeen,+""]","['maas', ""k'ex"", 'x-', 'ttiij', 'tambyeen']","['adv', 'adj', 'tam', 'vt', 'adv']","['Mucho', 'sufrimos', 'tambien.']","['adv', 'adj', 'COM#tam', 'vt', 'adv']"
"['i', ""k'axi'"", 'xqatiij+']","['i', ""k'ex"", ""-i'n"", 'x-', 'ttiij']","['conj', 'adj', 'part', 'tam', 'vt']","['Y', 'dolor', 'comimos.', '(sufrimos', 'mucho)']","['CONJ#conj', 'adj', 'part', 'COM#tam', 'vt']"
"['per', 'ke', 'remedye,', 'peer', ""xqab'ana'"", 'kumpliir.+']","['peer', 'ke', 'remedyee', 'peer', 'x-', 'qa-', ""b'an"", 'kumpliir']","['adv', 'part', 's', 'adv', 'tam', 'pers', 'vt', 'vi']","['Pero', 'que', 'remedio,', 'pero', 'si', 'cumplimos.']","['adv', 'part', 's', 'adv', 'COM#tam', 'E1P#pers', 'vt', 'vi']"
"['Re', ""xojkojoni'n,+""]","['re', 'x-', 'oj-', 'kojÃ³', ""i'n""]","['***', 'tam', 'pers', 'vi', 'part']","['Lo', 'respetamos.']","['error', 'COM#tam', 'A1P#pers', 'vi', 'part']"
"[""xojkojoni'n,+""]","['x-', 'oj-', 'kojÃ³', 'ni', ""i'n""]","['tam', 'pers', 'vi', 'part', 'part']",['Respetamos.'],"['COM#tam', 'A1P#pers', 'vi', '#', 'part', '#', 'part']"
"['antose', ""ri'"", ""k'uli"", 'qaaj.+']","['antonses', ""ri'"", ""k'u"", 'li', 'qaaj']","['adv', 'dem', 'part', 'adv', 'clas']","['Entonces', 'eso', 'es', 'puÃ©s', 'seÃ±or.']","['adv', 'dem', 'PART#part', 'adv', 'clas']"
"['Ri', ""xink'uli'"", 'chik', ""b'iik,+""]","['ri', 'x', 'in', ""k'uli'"", 'chik', ""b'ik""]","['sub', 'tam', 'pers', 'vi', 'part', 'dir']","['Enotonces', 'cuando', 'me', 'casÃ©', 'otra', 'vez.']","['SUB#sub', 'COM#tam', '#', 'A1S#pers', '#', 'vi', 'PART#part', 'DIR#dir']"
"['i', 'aa', 'lajori', 'ya', 'mucho', 'tyemp', 'chaq,+']","['i', 'lijori', 'ya', 'muucho', 'tyeemp', 'chaq']","['conj', 'adv', 'voc', 'adv', 's', 'part']","['Â¡A!', 'ahora', 'ya', 'hace', 'mucho', 'tiempo.']","['CONJ#conj', 'adv', 'voc', 'adv', 's', 'PART#part']"
"['ri', 'in', ""k'ulnaq"", 'ni', ""k'"", ""re',+""]","['ri', 'in', ""k'ul"", 'naq', 'ni', ""ka'"", 're']","['dem', 'pers', 'vi', 'suf', 'part', 'part', 'part']","['De', 'estar', 'casada', 'puÃ©s.']","['dem', 'A1S#pers', 'vi', '#', 'PP#suf', 'NEG#part', 'PART#part', 'PART#part']"
"['porke', 'ya', 'xinkaan', 'chi', 're', ""malkani'roq"", 'ri', 'il,+']","['porke', 'ya', 'x-', 'in-', 'kan', 'chi', 're']","['adv', 'voc', 'tam', 'pers', 'vi', 'prep', '***']","['Por', 'que', 'ya', 'me', 'quedÃ©', 'en', 'la', 'viudez', 'mire.']","['adv', 'voc', 'COM#tam', 'E1S#pers', 'vi', 'PREP#prep', 'error']"
"['syempre', ""tqab'ana'"", 'sufrir', 'aalgo,+']","['syempre', 't-', 'qa-', ""b'an"", ""-a'"", 'sufrir', 'algo']","['adv', 'tam', 'pers', 'vt', 'suf', 'vi', 'adv']","['(Siempre', 'hacemos', 'sufriir', 'algo)', 'siempre', 'sufrimos', 'algo.']","['adv', 'INC#tam', 'E1P#pers', 'vt', 'MOV#suf', 'vi', 'adv']"
"[""tqa'an"", 'sufrir', 'alg,+']","['t-', 'qa-', ""b'an"", 'sufrir', 'algo']","['tam', 'pers', 'vt', 'vi', 'adv']","['(hacemos', 'sufrir', 'algo)', 'su', 'frimos', 'algo.']","['INC#tam', 'E1P#pers', 'vt', 'vi', 'adv']"
"['tos', 'ri', ""k'u"", ""li'"", 'qaaj,+']","['entoons', 'ri', ""k'u"", 'li', 'qaaj']","['adv', 'dem', 'part', 'dem', 'clas']","['Entonces', 'eso', 'es', 'seÃ±or.']","['adv', 'DEM#dem', 'PART#part', 'DEM#dem', 'clas']"
"['re', ""xinb'an"", 'Ã³jr,+']","['re', 'x', 'in-', ""b'an"", 'Ã³jor']","['part', 'tam', 'pers', 'vt', 'adv']","['Lo', 'que', 'hice', 'antes.']","['PART#part', 'COM#tam', '#', 'A1S#pers', 'vt', 'adv']"
"['xinpee', 'jno', 'ch', 'riij', 'kirneera,+']","['x-', 'in-', 'pet', '-e', 'jono', 'chi-', 'ri', 'karneero']","['tam', 'pers', 'vi', '***', 'adv', 'prep', 'srel', 's']","['(vine', 'en', 'algÃºn', 'lugar', 'detras', 'de', 'las', 'ovejas)', 'fui', 'en', 'varios', 'lugares', 'detras', 'de', 'las', 'ovejas.']","['COM#tam', 'A1S#pers', 'vi', 'error', 'adv', 'PREP#prep', 'srel', 's']"
"['jno', 'pe', ""meq'iin.+""]","['jono', 'pet', ""miq'iin""]","['adv', 'vi', 'adj']","['(por', 'hay', 'en', 'tierras', 'calientes)', 'por', 'tierra', 'caliente.']","['adv', 'vi', 'adj']"
"['xin', ""k'axi'"", 'xinij,+']","['***', ""k'ex"", ""-i'n"", '***']","['???', 'adj', 'part', '???']","['(Dolor', 'comÃ\xad)', 'sufrÃ\xad.']","['???', 'adj', 'part', '???']"
"[""xinwa'x"", ""rk'il"", 'aq', 'tzan', 'taq', ""wÃ¡lb'"", 'Ã³jr.+']","['x-', '***', '***', 'a', '-aq', ""k'atzaan"", 'taq', '***', 'Ã³jor']","['tam', '***', '***', 'pers', 'suf', 'adj', 'pl', '???', 'adv']","['(Estuve', 'con', 'ellos', 'los', 'finados', 'suegros', 'antes)Cuando', 'estuve', 'con', 'mis', 'finados', 'suegros.']","['COM#tam', 'error', 'error', 'E2S#pers', 'PL#suf', 'adj', 'PL#pl', '???', 'adv']"
"['I', 'tandas', ""xinb'an"", 'aprender', ""b'aniik"", 'poop,+']","['i', 'taant', 'x', 'in', ""b'an"", 'aprender', 'neen', 'poop']","['conj', 'adv', 'tam', 'pers', 'vt', 'vt', 'vt', 's']","['(Y', 'tantas', 'hice', 'aprender', 'hacer', 'petate)', 'tanto', 'aprendÃ\xad', 'hacer', 'petate.']","['CONJ#conj', 'adv', 'COM#tam', '#', 'A1S#pers', '#', 'vt', 'vt', 'vt', 's']"
"['wetemaa', 'j', 'treens,+']","['w-', 'etama', '-j', 'treens']","['pers', 'vt', 'suf', 's']","['AprendÃ\xad', 'hacer', 'trenzas.']","['E1S#pers', 'vt', 'SC#suf', 's']"
"['xwetamaaj', ""jb'aniik"", ""b'o'j,+""]","['x', 'wat', 'am', '-aaj', 'j', ""b'an"", '-iik', ""b'o'j""]","['tam', 'adv', 's', 'suf', 'pers', 'vt', 'suf', 's']","['aprendÃ\xad', 'a', 'hacer', 'ollas']","['COM#tam', '#', 'adv', '#', 's', 'MED#suf', 'E3S#pers', '#', 'vt', 'SV#suf', 's']"
"['juntiir,+']",['juntiir'],['adv'],['Todo.'],['adv']
"['juntiir', ""wetami'n.+""]","['juntiir', 'w-', 'etam', ""i'n""]","['adv', 'pers', 's', 'part']","['Todo', 'lo', 'sÃ©.']","['adv', 'E1S#pers', 's', '#', 'part']"
"['Lajori', ""tob'iy"", ""wetami'n,+""]","['lijori', ""tob'iiy"", 'w-', 'etam', ""i'n""]","['adv', 'adv', 'pers', 's', 'part']","['Ahora', 'todavÃ\xada', 'lo', 'sÃ©.']","['adv', 'adv', 'E1S#pers', 's', '#', 'part']"
"['wet', 'skeere', 'inkwint', 'na', 'chi', ""jb'aniik.+""]","['wat', 'sikeer', 'in', 'kwin', ""ta'"", 'na', 'chi', 'j', ""b'an"", 'iik']","['adv', 'adv', 'pers', 'vi', 'part', 'part', 'prep', 'pers', 'vt', 'suf']","['HojalÃ¡', 'lo', 'pudiera', 'hacer', 'todavÃ\xada.']","['adv', 'adv', 'A1S#pers', '#', 'vi', '#', 'NEG#part', 'part', 'PREP#prep', 'E3S#pers', '#', 'vt', '#', 'SV#suf']"
"['Per', ""ta'"", 'ch', 'inkwÃ\xadnik,+']","['peer', ""ta'"", 'chi', 'in-', 'kwin', '-ik']","['adv', 'part', 'prep', 'pers', 'vi', 'suf']","['Pero', 'ya', 'no', 'puedo.']","['adv', 'NEG#part', 'PREP#prep', 'E1S#pers', 'vi', 'SC#suf']"
"[""ta'"", ""chi'"", ""tinch'iij.+""]","[""ta'"", 'chi']","['part', 'prep']","['Ya', 'no', 'aguanto.']","['NEG#part', 'PREP#prep']"
"[""Iv.Â¿Ta'"", ""chi'"", ""atz'aqÃ³nik?+""]","[""ta'"", 'chi']","['part', 'prep']","['Â¿Usted', 'ya', 'no', 'aguanta?']","['NEG#part', 'PREP#prep']"
"['If.Â¡', 'Ya', 'noo!+']","['ya', ""no'""]","['voc', 'adv']","['Ya', 'no.']","['voc', 'adv']"
"[""ta'"", 'ch', ""intz'aqÃ³nik"", 'qaaj,+']","[""ta'"", 'chi', 'in-', 'taq', 'qaaj']","['part', 'prep', '***', '***', 'clas']","['Ya', 'no', 'hago', 'ollas', 'seÃ±or.']","['NEG#part', 'PREP#prep', 'error', 'error', 'clas']"
"[""ta'"", ""chi'"", ""intz'aqÃ³nik,+""]","[""ta'"", 'chi', 'in-', 'taq']","['part', 'prep', '***', '***']","['Ya', 'no', 'hago', 'ollas.']","['NEG#part', 'PREP#prep', 'error', 'error']"
"['lajori', ""ta'"", 'chi', '(kiÂŽ)', ""tinch'ij,+""]","['lijori', ""ta'"", 'chi', 't-', ""tch'ij""]","['adv', 'part', 'prep', 'tam', 'vt']","['Ahora', 'ya', 'no', 'aguanto.']","['adv', 'NEG#part', 'PREP#prep', 'INC#tam', 'vt']"
"[""ta'"", ""chi'"", ""tinch'ij,+""]","[""ta'"", 'chi', 't-', ""tch'ij""]","['part', 'prep', 'tam', 'vt']",,"['NEG#part', 'PREP#prep', 'INC#tam', 'vt']"
"['pwers', 'chaq', 'ri', 'tinkoj', 'jwaa', 'maq', ""Ã¡k'l,+""]","['pwers', 'chaq', 'ri', 't', 'in', 'koj', 'j-', 'waa', 'maq', ""Ã©k'il""]","['s', 'part', 'dem', 'tam', 'pers', 'vt', 'pers', 's', 'art', 's']","['Ya', 'es', 'alfuerza', 'hago', 'la', 'comida', 'de', 'los', 'patojos.']","['s', 'PART#part', 'DEM#dem', 'INC#tam', '#', 'E1S#pers', '#', 'vt', 'E3S#pers', 's', 'ART#art', 's']"
"[""tiwi'lb'ej"", 'taq', 'maq', ""Ã¡k'el"", 'li,+']","['taq', 'maq', ""Ã¡k'el"", 'li']","['pl', 'art', 's', 'dem']","['(Viendo', 'esos', 'patojos)', 'me', 'esta', 'costando', 'ver', 'a', 'estos', 'patojos.']","['PL#pl', 'ART#art', 's', 'DEM#dem']"
"['ri', 'Ã³jr', 'taq', 'tziij', ""ta'"", 'peen.+']","['re', 'Ã³jor', 'taq', 'tziij', ""ta'"", 'pena']","['part', 'adv', 'pl', 's', 'part', 's']","['(En', 'los', 'tiempos', 'de', 'antes', 'no', 'havÃ\xada', 'pena)', 'hace', 'tiempos', 'no', 'tenÃ\xada', 'pena.']","['PART#part', 'adv', 'PL#pl', 's', 'NEG#part', 's']"
"['Xinpe', 'baq', 'loom,+']","['x-', 'in-', 'pet', ""b'aq"", 'loom']","['tam', 'pers', 'vi', '***', 's']","['(Vine', 'sobre', 'los', 'cerros)', 'fuÃ\xad', 'sobre', 'los', 'cerros.']","['COM#tam', 'A1S#pers', 'vi', 'error', 's']"
"['ximpe', 'juntiir', 'luwar,+']","['xim-', 'pu', 'juntiir', 'luwar']","['***', '***', 'adv', 's']","['(Vine', 'sobre', 'sobre', 'todo', 'lugar)', 'fuÃ\xad', 'a', 'todos', 'los', 'lugares.']","['error', 'error', 'adv', 's']"
"['xinpe', 'jno', ""Ch'anuuj,+""]","['x', 'in', 'pet', 'jono', ""Ch'anuuj""]","['tam', 'pers', 'vi', 'adv', 'top']","['(Vine', 'por', 'Chanuj)', 'fui', 'por', 'Chanuj.']","['COM#tam', '#', 'A1S#pers', '#', 'vi', 'adv', 'top']"
"['xinpe', 'lomas', 'luwar,+']","['x-', 'in-', 'pet', 'lamaas', 'luwar']","['tam', 'pers', 'vi', 'adv', 's']","['(Vine', 'en', 'algunos', 'lugares)', 'fui', 'a', 'algunos', 'lugares.']","['COM#tam', 'A1S#pers', 'vi', 'adv', 's']"
"['jluwuraq', ""wÃ¡lb',+""]","['j-', 'luwar', '-aq', ""wÃ¡lb'""]","['pers', 's', 'suf', 's']","['Lugares', 'de', 'mis', 'suegros.']","['E3S#pers', 's', 'PL#suf', 's']"
"['kom', ""k'is"", ""wi'"", 'jluwraq,+']","['koom', ""k'is"", ""wi'"", 'j-', 'luwar', '-aq']","['part', 'part', 'exist', 'pers', 's', 'suf']","['(Como', 'tienen', 'sus', 'lugares)', 'como', 'tienen', 'sus', 'propiedades.']","['part', 'PL#part', 'EXS#exist', 'E3S#pers', 's', 'PL#suf']"
"[""k'is"", ""wi'"", 'jbyenaq,+']","[""k'is"", ""wi'"", 'j', 'byeen', 'aq']","['part', 'exÃ\xads', 'pers', 'adv', 'suf']","['(Tienen', 'sus', 'bienes)', 'tienen', 'sus', 'riquezas.']","['PL#part', 'EXS#exÃ\xads', 'E3S#pers', '#', 'adv', '#', 'PL#suf']"
"['ontikeer', 'laad', ""xinpe'w,+""]","['ontikeer', 'laad', 'x-', 'in-', 'pet', '-w']","['adv', 'adv', 'tam', 'pers', 'vi', 'suf']","['(Dondequiera', 'lado', 'vine)', 'por', 'dondequiera', 'fuÃ\xad.']","['adv', 'adv', 'COM#tam', 'A1S#pers', 'vi', 'MOV#suf']"
"['ontikeer', 'laad', ""xinpe'w.+""]","['ontikeer', 'laad', 'x-', 'in-', 'pet', '-w']","['adv', 'adv', 'tam', 'pers', 'vi', 'suf']","['(dondequiera', 'ladovine)', 'fuÃ\xad', 'a', 'cualquier', 'lado.']","['adv', 'adv', 'COM#tam', 'A1S#pers', 'vi', 'MOV#suf']"
"['Bay', 'jiloon', 'li', 'qaaj+']","['baa', 'jilon', 'li', 'qaaj']","['voc', 'adv', 'dem', 'clas']","['(Baya', 'asÃ\xad', 'fue', 'seÃ±or)', 'asÃ\xad', 'fue.']","['voc', 'adv', 'DEM#dem', 'clas']"
"[""re'"", 'xin...', 'xin...', ""xinch'ekb'eej"", ""sik'"", 'inw,+']","['re', 'x-', 'in', 'x-', 'in', 'x-', 'in-', '***', ""sik'"", 'iinwa']","['part', 'tam', 'pers', 'tam', 'pers', 'tam', 'pers', '***', 'adj', 's']","['(Para', 'ganar', 'mi', 'pobre', 'tortilla)', 'para', 'ganar', 'mi', 'comida.']","['PART#part', 'COM#tam', 'A1S#pers', 'COM#tam', 'A1S#pers', 'COM#tam', 'E1S#pers', 'error', 'adj', 's']"
"['re', ""xinch'ekb'eej"", ""sik'"", 'qleen', 'we', ""re',+""]","['re', ""sik'"", 'qleen', 'we', 're']","['part', 'adj', 's', 'part', 'part']","['Para', 'ganar', 'mis', 'pobres', 'cosas', 'entonces.']","['PART#part', 'adj', 's', 'COND#part', 'PART#part']"
"['xinÃ©lk,+']","['x', 'in', 'el', 'ik']","['tam', 'pers', 'vi', 'suf']",['SalÃ\xad.'],"['COM#tam', '#', 'A1S#pers', '#', 'vi', '#', 'SC#suf']"
"['xin', 'tantas', ""xinb'an.+""]","['x-', 'iin', 'tantas', '***', 'in-', ""b'an""]","['tam', 'pron', 'adv', 'tam', 'pers', 'vt']","['(Muchos', 'hice)', 'hice', 'muchas', 'cosas.']","['COM#tam', 'pron', 'adv', 'COM#tam', 'A1S#pers', 'vt']"
"['Syempre', ""xojkojooni'n,+""]","['syempre', 'x-', 'oj-', 'kojÃ³n', ""i'n""]","['adv', 'tam', 'pers', 'vi', 'part']","['Siempre', 'obedecimos.']","['adv', 'COM#tam', 'A1P#pers', 'vi', '#', 'part']"
"[""xojkojooni'n,+""]","['x-', 'oj-', 'kojÃ³n', ""i'n""]","['tam', 'pers', 'vi', 'part']",['Obedecimos.'],"['COM#tam', 'A1P#pers', 'vi', '#', 'part']"
"['xojkojoon', 'chuuh', 'qaqaj', 'qachuwch.+']","['x-', 'oj-', '***', 'chiwch-', 'uu', 'qa-', 'qaaj', 'qa-', 'chuwch']","['tam', 'pers', '???', 'srel', 's', 'pers', 's', 'pers', '***']","['(Respetamos', 'frente', 'a', 'nuestros', 'padres)', 'respetamos', 'a', 'nuestros', 'padres.']","['COM#tam', 'A1P#pers', '???', 'srel', 's', 'E1P#pers', 's', 'E1P#pers', 'error']"
"['Naq', ""xinkoja'"", 'inqaaj', 'inchuuch,+']","['naq', 'x-', 'in-', 'koj', ""-a'"", 'in-', 'qaaj', 'in-', 'chuuch']","['suf', 'tam', 'pers', 's', '***', 'pers', 's', 'pers', 's']","['RespetÃ©', 'a', 'mis', 'padres.']","['PP#suf', 'COM#tam', 'A1S#pers', 's', 'error', 'E1S#pers', 's', 'E1S#pers', 's']"
"['naq', 'xinkojoon', 'chuuchaq.+']","['naq', 'x-', 'in-', 'koj', ""o'"", '-on', 'chuuch', 'aq']","['suf', 'tam', 'pers', 'vt', 'conj', 'suf', 's', 'suf']","['(RespetÃ©', 'ante', 'ellos)', 'los', 'respetÃ©.']","['PP#suf', 'COM#tam', 'E1S#pers', 'vt', '#', 'conj', 'AP#suf', 's', '#', 'PL#suf']"
"['I', 'jilon', 'chik', ""rk'i"", ""wÃ¡lb'"", 'chik,+']","['i', 'jilon', 'chik', 'r-', ""k'i"", ""wÃ¡lb'"", 'chik']","['conj', 'adv', 'part', 'pers', 'srel', 's', 'part']","['Y', 'asÃ\xad', 'tambiÃ©n', 'con', 'mis', 'suegros', 'tambiÃ©n.']","['CONJ#conj', 'adv', 'PART#part', 'E3S#pers', 'srel', 's', 'PART#part']"
"['mism', 'naq', ""xinkoja'n+""]","['miim', 'naq', 'x-', 'in-', 'koj', ""i'n""]","['adv', 'suf', 'tam', 'pers', 'vt', 'part']","['TambiÃ©n', 'los', 'respetÃ©.']","['adv', 'PP#suf', 'COM#tam', 'E1S#pers', 'vt', '#', 'part']"
